symbol,event_type,ex_date,record_date,pay_date,ratio,cash_amount
AOS,dividend,2006-07-27,,,,0.028333
AOS,dividend,2006-10-27,,,,0.028333
AOS,dividend,2007-01-29,,,,0.028333
AOS,dividend,2007-04-26,,,,0.028333
AOS,dividend,2007-07-27,,,,0.03
AOS,dividend,2007-10-29,,,,0.03
AOS,dividend,2008-01-29,,,,0.03
AOS,dividend,2008-04-28,,,,0.03
AOS,dividend,2008-07-29,,,,0.031667
AOS,dividend,2008-10-29,,,,0.031667
AOS,dividend,2009-01-28,,,,0.031667
AOS,dividend,2009-04-28,,,,0.031667
AOS,dividend,2009-07-29,,,,0.0325
AOS,dividend,2009-10-28,,,,0.0325
AOS,dividend,2010-01-27,,,,0.0325
AOS,dividend,2010-04-28,,,,0.0325
AOS,dividend,2010-07-28,,,,0.035
AOS,dividend,2010-10-27,,,,0.035
AOS,dividend,2011-01-27,,,,0.035
AOS,dividend,2011-04-27,,,,0.035
AOS,dividend,2011-07-27,,,,0.04
AOS,dividend,2011-10-27,,,,0.04
AOS,dividend,2012-01-27,,,,0.04
AOS,dividend,2012-04-26,,,,0.04
AOS,dividend,2012-07-27,,,,0.05
AOS,dividend,2012-10-31,,,,0.05
AOS,dividend,2013-01-29,,,,0.05
AOS,dividend,2013-04-25,,,,0.06
AOS,dividend,2013-07-29,,,,0.06
AOS,dividend,2013-10-29,,,,0.06
AOS,dividend,2014-02-05,,,,0.075
AOS,dividend,2014-04-28,,,,0.075
AOS,dividend,2014-07-29,,,,0.075
AOS,dividend,2014-10-29,,,,0.075
AOS,dividend,2015-02-04,,,,0.095
AOS,dividend,2015-04-28,,,,0.095
AOS,dividend,2015-07-29,,,,0.095
AOS,dividend,2015-10-28,,,,0.095
AOS,dividend,2016-02-03,,,,0.12
AOS,dividend,2016-04-27,,,,0.12
AOS,dividend,2016-07-27,,,,0.12
AOS,dividend,2016-10-27,,,,0.12
AOS,dividend,2017-01-27,,,,0.14
AOS,dividend,2017-04-26,,,,0.14
AOS,dividend,2017-07-27,,,,0.14
AOS,dividend,2017-10-30,,,,0.14
AOS,dividend,2018-01-30,,,,0.18
AOS,dividend,2018-04-27,,,,0.18
AOS,dividend,2018-07-30,,,,0.18
AOS,dividend,2018-10-30,,,,0.22
AOS,dividend,2019-01-30,,,,0.22
AOS,dividend,2019-04-29,,,,0.22
AOS,dividend,2019-07-30,,,,0.22
AOS,dividend,2019-10-30,,,,0.24
AOS,dividend,2020-01-30,,,,0.24
AOS,dividend,2020-04-29,,,,0.24
AOS,dividend,2020-07-30,,,,0.24
AOS,dividend,2020-10-29,,,,0.26
AOS,dividend,2021-01-28,,,,0.26
